episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
20, 33.8, -1.0, -1.0, -1, -1
40, 19.7, -1.0, -1.0, -1, -1, 0.12972972972972974, 0.15405405405405406, 0.16486486486486487, 0.1891891891891892, 0.1864864864864865, 0.17567567567567569
60, 21.1, -1.0, -1.0, -1, -1, 0.1341991341991342, 0.17532467532467533, 0.14502164502164502, 0.19480519480519481, 0.16017316017316016, 0.19047619047619047
80, 20.1, -1.0, -1.0, -1, -1, 0.17060367454068243, 0.17585301837270342, 0.15223097112860892, 0.1679790026246719, 0.16010498687664043, 0.1732283464566929
100, 19.4, -1.0, -1.0, -1, -1, 0.1408839779005525, 0.15469613259668508, 0.1574585635359116, 0.19889502762430938, 0.14917127071823205, 0.19889502762430938
120, 16.7, -1.0, -1.0, -1, -1, 0.18181818181818182, 0.12373737373737374, 0.16414141414141414, 0.21717171717171718, 0.15656565656565657, 0.15656565656565657
140, 22.0, -1.0, -1.0, -1, -1, 0.16740088105726872, 0.1894273127753304, 0.15198237885462554, 0.18502202643171806, 0.15638766519823788, 0.14977973568281938
160, 21.4, -1.0, -1.0, -1, -1, 0.15483870967741936, 0.17634408602150536, 0.18494623655913978, 0.17419354838709677, 0.13978494623655913, 0.16989247311827957
180, 20.9, -1.0, -1.0, -1, -1, 0.14805825242718446, 0.15776699029126215, 0.14805825242718446, 0.1941747572815534, 0.16019417475728157, 0.19174757281553398
200, 23.3, -1.0, -1.0, -1, -1, 0.15436241610738255, 0.17002237136465326, 0.18120805369127516, 0.18344519015659955, 0.16554809843400448, 0.14541387024608501
220, 21.9, -1.0, -1.0, -1, -1, 0.17872340425531916, 0.16595744680851063, 0.13191489361702127, 0.19148936170212766, 0.14680851063829786, 0.1851063829787234
240, 18.2, -1.0, -1.0, -1, -1, 0.1583710407239819, 0.17420814479638008, 0.15610859728506787, 0.2171945701357466, 0.1583710407239819, 0.13574660633484162
260, 24.5, -1.0, -1.0, -1, -1, 0.13688212927756654, 0.16920152091254753, 0.17110266159695817, 0.17110266159695817, 0.18631178707224336, 0.16539923954372623
280, 22.1, -1.0, -1.0, -1, -1, 0.15980629539951574, 0.15980629539951574, 0.1864406779661017, 0.1549636803874092, 0.17433414043583534, 0.16464891041162227
300, 22.5, -1.0, -1.0, -1, -1, 0.16666666666666666, 0.15458937198067632, 0.15942028985507245, 0.17391304347826086, 0.1497584541062802, 0.1956521739130435
320, 21.7, -1.0, -1.0, -1, -1, 0.1218274111675127, 0.18527918781725888, 0.15736040609137056, 0.19035532994923857, 0.1700507614213198, 0.1751269035532995
340, 25.1, -1.0, -1.0, -1, -1, 0.13365155131264916, 0.20047732696897375, 0.14558472553699284, 0.21479713603818615, 0.13365155131264916, 0.1718377088305489
360, 21.6, -1.0, -1.0, -1, -1, 0.1357142857142857, 0.2, 0.12857142857142856, 0.20714285714285716, 0.175, 0.15357142857142858
380, 20.6, -1.0, -1.0, -1, -1, 0.14492753623188406, 0.18633540372670807, 0.16356107660455488, 0.18633540372670807, 0.15734989648033126, 0.16149068322981366
400, 32.6, -1.0, -1.0, -1, -1, 0.1401151631477927, 0.1727447216890595, 0.1727447216890595, 0.19385796545105566, 0.18426103646833014, 0.1362763915547025
420, 26.8, -1.0, -1.0, -1, -1, 0.15851272015655576, 0.1917808219178082, 0.1506849315068493, 0.1898238747553816, 0.15459882583170254, 0.15459882583170254
440, 21.2, -1.0, -1.0, -1, -1, 0.13881748071979436, 0.18766066838046272, 0.14395886889460155, 0.15424164524421594, 0.17480719794344474, 0.20051413881748073
460, 21.1, -1.0, -1.0, -1, -1, 0.14423076923076922, 0.16346153846153846, 0.1346153846153846, 0.20673076923076922, 0.16826923076923078, 0.18269230769230768
480, 33.5, -1.0, -1.0, -1, -1, 0.12773722627737227, 0.19343065693430658, 0.15145985401459855, 0.18613138686131386, 0.19160583941605838, 0.14963503649635038
500, 19.2, -1.0, -1.0, -1, -1, 0.1566265060240964, 0.20783132530120482, 0.18373493975903615, 0.1566265060240964, 0.15963855421686746, 0.1355421686746988
520, 15.8, -1.0, -1.0, -1, -1, 0.12849162011173185, 0.1787709497206704, 0.15921787709497207, 0.16759776536312848, 0.16759776536312848, 0.19832402234636873
540, 23.8, -1.0, -1.0, -1, -1, 0.14251781472684086, 0.18527315914489312, 0.16389548693586697, 0.19002375296912113, 0.15201900237529692, 0.166270783847981
560, 22.4, -1.0, -1.0, -1, -1, 0.1116751269035533, 0.1751269035532995, 0.1598984771573604, 0.18781725888324874, 0.19543147208121828, 0.1700507614213198
580, 21.5, -1.0, -1.0, -1, -1, 0.14660831509846828, 0.18818380743982493, 0.13347921225382933, 0.17286652078774617, 0.175054704595186, 0.1838074398249453
600, 21.5, -0.8, -1.0, -1, 1, 0.12547528517110265, 0.19011406844106463, 0.17300380228136883, 0.18250950570342206, 0.155893536121673, 0.17300380228136883
620, 23.8, -1.0, -1.0, -1, -1, 0.1271551724137931, 0.1853448275862069, 0.1810344827586207, 0.20043103448275862, 0.14655172413793102, 0.15948275862068967
640, 17.8, -1.0, -1.0, -1, -1, 0.11315789473684211, 0.17894736842105263, 0.1631578947368421, 0.18157894736842106, 0.17105263157894737, 0.19210526315789472
660, 15.6, -1.0, -1.0, -1, -1, 0.15135135135135136, 0.16756756756756758, 0.14324324324324325, 0.1972972972972973, 0.16216216216216217, 0.1783783783783784
680, 19.6, -1.0, -1.0, -1, -1, 0.1586021505376344, 0.17204301075268819, 0.1989247311827957, 0.1639784946236559, 0.14516129032258066, 0.16129032258064516
700, 31.0, -1.0, -1.0, -1, -1, 0.1505922165820643, 0.20135363790186125, 0.1658206429780034, 0.21996615905245348, 0.14890016920473773, 0.11336717428087986
720, 30.4, -1.0, -1.0, -1, -1, 0.155893536121673, 0.19011406844106463, 0.1596958174904943, 0.1844106463878327, 0.155893536121673, 0.15399239543726237
740, 23.9, -1.0, -1.0, -1, -1, 0.15234375, 0.177734375, 0.18359375, 0.173828125, 0.169921875, 0.142578125
760, 25.5, -1.0, -1.0, -1, -1, 0.14831460674157304, 0.17752808988764046, 0.16404494382022472, 0.18202247191011237, 0.14382022471910114, 0.1842696629213483
780, 22.4, -1.0, -1.0, -1, -1, 0.14725274725274726, 0.1912087912087912, 0.15164835164835164, 0.2, 0.15824175824175823, 0.15164835164835164
800, 21.6, -1.0, -1.0, -1, -1, 0.1650485436893204, 0.16310679611650486, 0.12815533980582525, 0.20970873786407768, 0.19223300970873786, 0.141747572815534
820, 19.2, -1.0, -1.0, -1, -1, 0.15979381443298968, 0.14690721649484537, 0.14948453608247422, 0.18041237113402062, 0.14432989690721648, 0.2190721649484536
840, 27.5, -1.0, -1.0, -1, -1, 0.16520210896309315, 0.17398945518453426, 0.1687170474516696, 0.19332161687170474, 0.1687170474516696, 0.13005272407732865
860, 31.6, -1.0, -1.0, -1, -1, 0.1375968992248062, 0.17248062015503876, 0.18023255813953487, 0.20930232558139536, 0.14147286821705427, 0.15891472868217055
880, 27.0, -1.0, -1.0, -1, -1, 0.13441955193482688, 0.2240325865580448, 0.15274949083503056, 0.18126272912423624, 0.17515274949083504, 0.13238289205702647
900, 16.7, -1.0, -1.0, -1, -1, 0.1211340206185567, 0.16752577319587628, 0.18298969072164947, 0.18041237113402062, 0.17525773195876287, 0.17268041237113402
920, 19.7, -1.0, -1.0, -1, -1, 0.1575875486381323, 0.17704280155642024, 0.15953307392996108, 0.18093385214007782, 0.16536964980544747, 0.15953307392996108
940, 19.6, -1.0, -1.0, -1, -1, 0.14861995753715498, 0.15074309978768577, 0.1613588110403397, 0.21443736730360935, 0.15498938428874734, 0.16985138004246284
960, 21.3, -1.0, -1.0, -1, -1, 0.13140311804008908, 0.1514476614699332, 0.15812917594654788, 0.18930957683741648, 0.18262806236080179, 0.1870824053452116
980, 17.2, -1.0, -1.0, -1, -1, 0.16400911161731208, 0.19134396355353075, 0.1662870159453303, 0.17312072892938496, 0.1662870159453303, 0.13895216400911162
1000, 30.8, -1.0, -1.0, -1, -1, 0.148, 0.15, 0.178, 0.188, 0.156, 0.18
1020, 25.8, -1.0, -1.0, -1, -1, 0.1586452762923351, 0.18716577540106952, 0.16755793226381463, 0.1711229946524064, 0.16755793226381463, 0.14795008912655971
1040, 23.2, -1.0, -1.0, -1, -1, 0.12448132780082988, 0.1950207468879668, 0.16390041493775934, 0.17219917012448133, 0.18672199170124482, 0.15767634854771784
1060, 15.5, -1.0, -1.0, -1, -1, 0.1377672209026128, 0.17577197149643706, 0.166270783847981, 0.18527315914489312, 0.171021377672209, 0.16389548693586697
1080, 20.0, -1.0, -1.0, -1, -1, 0.1334841628959276, 0.16515837104072398, 0.18099547511312217, 0.2081447963800905, 0.1425339366515837, 0.16968325791855204
1100, 23.3, -1.0, -1.0, -1, -1, 0.1382488479262673, 0.14285714285714285, 0.1935483870967742, 0.19815668202764977, 0.17972350230414746, 0.14746543778801843
1120, 20.8, -1.0, -1.0, -1, -1, 0.18100890207715134, 0.11572700296735905, 0.1661721068249258, 0.21068249258160238, 0.16023738872403562, 0.1661721068249258
1140, 20.2, -1.0, -1.0, -1, -1, 0.1865671641791045, 0.1865671641791045, 0.17412935323383086, 0.18407960199004975, 0.10945273631840796, 0.15920398009950248
